Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
1013074,Montgomery,"Montgomery,Alabama,United States",21133,US,City,Active
1012896,Juneau,"Juneau,Juneau,Alaska,United States",21132,US,City,Active
1013462,Phoenix,"Phoenix,Arizona,United States",21136,US,City,Active
1013268,Little Rock,"Little Rock,Arkansas,United States",21135,US,City,Active
1014208,Sacramento,"Sacramento,California,United States",21137,US,City,Active
1014485,Denver,"Denver,Colorado,United States",21138,US,City,Active
1014743,Hartford,"Hartford,Connecticut,United States",21139,US,City,Active
1014906,Dover,"Dover,Delaware,United States",21141,US,City,Active
1015213,Tallahassee,"Tallahassee,Florida,United States",21142,US,City,Active
1015254,Atlanta,"Atlanta,Georgia,United States",21143,US,City,Active
1015579,Honolulu,"Honolulu,Hawaii,United States",21144,US,City,Active
1016131,Boise,"Boise,Idaho,United States",21146,US,City,Active
1016864,Springfield,"Springfield,Illinois,United States",21147,US,City,Active
1017146,Indianapolis,"Indianapolis,Indiana,United States",21148,US,City,Active
1022525,Des Moines,"Des Moines,New Mexico,United States",21165,US,City,Active
1017336,Topeka,"Topeka,Indiana,United States",21148,US,City,Active
1017473,Frankfort,"Frankfort,Kansas,United States",21149,US,City,Active
1017934,Baton Rouge,"Baton Rouge,Louisiana,United States",21151,US,City,Active
1018761,Augusta,"Augusta,Maine,United States",21154,US,City,Active
1020169,Annapolis,"Annapolis,Missouri,United States",21157,US,City,Active
1018127,Boston,"Boston,Massachusetts,United States",21152,US,City,Active
1019404,Lansing,"Lansing,Michigan,United States",21155,US,City,Active
1020090,Saint Paul,"Saint Paul,Minnesota,United States",21156,US,City,Active
1020406,Jackson,"Jackson,Missouri,United States",21157,US,City,Active
1020411,Jefferson City,"Jefferson City,Missouri,United States",21157,US,City,Active
1020906,Helena,"Helena,Montana,United States",21159,US,City,Active
1020920,Lincoln,"Lincoln,Montana,United States",21159,US,City,Active
1022620,Carson City,"Carson City,Nevada,United States",21166,US,City,Active
1021832,Concord,"Concord,New Hampshire,United States",21163,US,City,Active
1022444,Trenton,"Trenton,New Jersey,United States",21164,US,City,Active
1022588,Santa Fe,"Santa Fe,New Mexico,United States",21165,US,City,Active
1022672,Albany,"Albany,New York,United States",21167,US,City,Active
1021278,Raleigh,"Raleigh,North Carolina,United States",21160,US,City,Active
1021402,Bismarck,"Bismarck,North Dakota,United States",21161,US,City,Active
1023640,Columbus,"Columbus,Ohio,United States",21168,US,City,Active
1024290,Oklahoma City,"Oklahoma City,Oklahoma,United States",21169,US,City,Active
1024555,Salem,"Salem,Oregon,United States",21170,US,City,Active
1024922,Harrisburg,"Harrisburg,Pennsylvania,United States",21171,US,City,Active
1025477,Providence,"Providence,Rhode Island,United States",21172,US,City,Active
1025530,Columbia,"Columbia,South Carolina,United States",21173,US,City,Active
1025838,Pierre,"Pierre,South Dakota,United States",21174,US,City,Active
1026083,Nashville,"Nashville,Tennessee,United States",21175,US,City,Active
1026201,Austin,"Austin,Texas,United States",21176,US,City,Active
1026990,Salt Lake City,"Salt Lake City,Utah,United States",21177,US,City,Active
1027414,Montpelier,"Montpelier,Vermont,United States",21179,US,City,Active
9059771,Richmond County,"Richmond County,Virginia,United States",21178,US,County,Active
1027691,Olympia,"Olympia,Washington,United States",21180,US,City,Active
1028320,Charleston,"Charleston,West Virginia,United States",21183,US,City,Active
9018699,53001,"Madison,Wisconsin,United States",21182,US,Postal Code,Active
1028458,Cheyenne,"Cheyenne,Wyoming,United States",21184,US,City,Active